"","pvt_occ_means_vec","Freq"
"1","1.34",5e-05
"2","1.39",5e-05
"3","1.4",0.00015
"4","1.405",0.00015
"5","1.41",1e-04
"6","1.415",0.00015
"7","1.42",3e-04
"8","1.425",0.00015
"9","1.43",0.00045
"10","1.435",0.00045
"11","1.44",0.00065
"12","1.445",0.00075
"13","1.45",0.001
"14","1.455",0.00125
"15","1.46",0.0017
"16","1.465",0.0018
"17","1.47",0.002
"18","1.475",0.00245
"19","1.48",0.00285
"20","1.485",0.0035
"21","1.49",0.00305
"22","1.495",0.00475
"23","1.5",0.0051
"24","1.505",0.005
"25","1.51",0.00655
"26","1.515",0.0075
"27","1.52",0.00895
"28","1.525",0.011
"29","1.53",0.01135
"30","1.535",0.01265
"31","1.54",0.013
"32","1.545",0.0147
"33","1.55",0.0156
"34","1.555",0.01645
"35","1.56",0.0194
"36","1.565",0.01905
"37","1.57",0.0205
"38","1.575",0.02285
"39","1.58",0.0231
"40","1.585",0.02105
"41","1.59",0.0267
"42","1.595",0.0276
"43","1.6",0.0272
"44","1.605",0.02815
"45","1.61",0.0267
"46","1.615",0.0281
"47","1.62",0.02815
"48","1.625",0.02975
"49","1.63",0.02855
"50","1.635",0.02615
"51","1.64",0.02765
"52","1.645",0.02505
"53","1.65",0.02815
"54","1.655",0.02635
"55","1.66",0.02425
"56","1.665",0.0253
"57","1.67",0.02355
"58","1.675",0.02085
"59","1.68",0.02065
"60","1.685",0.01955
"61","1.69",0.01785
"62","1.695",0.01765
"63","1.7",0.01635
"64","1.705",0.01525
"65","1.71",0.01325
"66","1.715",0.01365
"67","1.72",0.01135
"68","1.725",0.0112
"69","1.73",0.01015
"70","1.735",0.00795
"71","1.74",0.00845
"72","1.745",0.0076
"73","1.75",0.0063
"74","1.755",0.0063
"75","1.76",0.0047
"76","1.765",0.00535
"77","1.77",0.00385
"78","1.775",0.00325
"79","1.78",0.00305
"80","1.785",0.0025
"81","1.79",0.002
"82","1.795",0.0018
"83","1.8",0.00135
"84","1.805",0.0014
"85","1.81",0.001
"86","1.815",9e-04
"87","1.82",0.00085
"88","1.825",8e-04
"89","1.83",0.00055
"90","1.835",0.00065
"91","1.84",4e-04
"92","1.845",2e-04
"93","1.85",5e-04
"94","1.855",0.00025
"95","1.86",3e-04
"96","1.865",3e-04
"97","1.87",0.00015
"98","1.875",5e-05
"99","1.88",2e-04
"100","1.885",0.00015
"101","1.89",5e-05
"102","1.895",5e-05
"103","1.9",1e-04
"104","1.91",5e-05
