"","pvt_occ_means_vec","Freq"
"1","1.34",1
"2","1.39",1
"3","1.4",3
"4","1.405",3
"5","1.41",2
"6","1.415",3
"7","1.42",6
"8","1.425",3
"9","1.43",9
"10","1.435",9
"11","1.44",13
"12","1.445",15
"13","1.45",20
"14","1.455",25
"15","1.46",34
"16","1.465",36
"17","1.47",40
"18","1.475",49
"19","1.48",57
"20","1.485",70
"21","1.49",61
"22","1.495",95
"23","1.5",102
"24","1.505",100
"25","1.51",131
"26","1.515",150
"27","1.52",179
"28","1.525",220
"29","1.53",227
"30","1.535",253
"31","1.54",260
"32","1.545",294
"33","1.55",312
"34","1.555",329
"35","1.56",388
"36","1.565",381
"37","1.57",410
"38","1.575",457
"39","1.58",462
"40","1.585",421
"41","1.59",534
"42","1.595",552
"43","1.6",544
"44","1.605",563
"45","1.61",534
"46","1.615",562
"47","1.62",563
"48","1.625",595
"49","1.63",571
"50","1.635",523
"51","1.64",553
"52","1.645",501
"53","1.65",563
"54","1.655",527
"55","1.66",485
"56","1.665",506
"57","1.67",471
"58","1.675",417
"59","1.68",413
"60","1.685",391
"61","1.69",357
"62","1.695",353
"63","1.7",327
"64","1.705",305
"65","1.71",265
"66","1.715",273
"67","1.72",227
"68","1.725",224
"69","1.73",203
"70","1.735",159
"71","1.74",169
"72","1.745",152
"73","1.75",126
"74","1.755",126
"75","1.76",94
"76","1.765",107
"77","1.77",77
"78","1.775",65
"79","1.78",61
"80","1.785",50
"81","1.79",40
"82","1.795",36
"83","1.8",27
"84","1.805",28
"85","1.81",20
"86","1.815",18
"87","1.82",17
"88","1.825",16
"89","1.83",11
"90","1.835",13
"91","1.84",8
"92","1.845",4
"93","1.85",10
"94","1.855",5
"95","1.86",6
"96","1.865",6
"97","1.87",3
"98","1.875",1
"99","1.88",4
"100","1.885",3
"101","1.89",1
"102","1.895",1
"103","1.9",2
"104","1.91",1
