"","bus_vec","Freq"
"1","0",9
"2","0.005",56
"3","0.01",216
"4","0.015",646
"5","0.02",1239
"6","0.025",1955
"7","0.03",2513
"8","0.035",2815
"9","0.04",2874
"10","0.045",2465
"11","0.05",1958
"12","0.055",1364
"13","0.06",892
"14","0.065",507
"15","0.07",261
"16","0.075",128
"17","0.08",58
"18","0.085",28
"19","0.09",9
"20","0.095",5
"21","0.1",2
