"","non_motorized_vec","Freq"
"1","0.07",1
"2","0.095",4
"3","0.1",10
"4","0.105",23
"5","0.11",52
"6","0.115",65
"7","0.12",121
"8","0.125",176
"9","0.13",249
"10","0.135",364
"11","0.14",522
"12","0.145",627
"13","0.15",804
"14","0.155",976
"15","0.16",1139
"16","0.165",1247
"17","0.17",1365
"18","0.175",1486
"19","0.18",1437
"20","0.185",1442
"21","0.19",1300
"22","0.195",1284
"23","0.2",1105
"24","0.205",962
"25","0.21",758
"26","0.215",678
"27","0.22",503
"28","0.225",415
"29","0.23",289
"30","0.235",221
"31","0.24",136
"32","0.245",88
"33","0.25",56
"34","0.255",34
"35","0.26",23
"36","0.265",16
"37","0.27",10
"38","0.275",4
"39","0.28",4
"40","0.285",2
"41","0.295",2
