Vehicle Type,Production Share,mpg,freq,kpl
Pickup,0.13895,19.1,14,8.12
Minivan/Van,0.031229,22.8,3,9.69
Truck SUV,0.350564,23.1,35,9.82
Car SUV,0.112583,27.3,11,11.61
Sedan/Wagon,0.366674,30.8,37,13.1
